H;03316661000119;20181001;20181108
V;03316661000119;50567288000663;3528700033601;0;H;20181108
V;03316661000119;19869975000189;3528700493207;47000;H;20181108
V;03316661000119;19869975000189;3528700493207;4000;H;20181108
V;03316661000119;19869975000189;3528700493207;178000;H;20181108
V;03316661000119;19869975000189;3528700493207;520000;H;20181108
V;03316661000119;19869975000189;3528700493207;6000;H;20181108
V;03316661000119;19869975000189;3528700493207;76000;H;20181108
V;03316661000119;50567288000663;3528700072327;4000;H;20181108
V;03316661000119;50567288000663;3528700074109;5000;H;20181108
V;03316661000119;50567288000663;3528700129588;20000;H;20181108
V;03316661000119;50567288000663;3528700166637;3000;H;20181108
V;03316661000119;50567288000663;3528700166859;2000;H;20181108
V;03316661000119;50567288000663;3528700190083;10000;H;20181108
V;03316661000119;50567288000663;3528700240092;0;H;20181108
V;03316661000119;50567288000663;3528700240337;0;H;20181108
V;03316661000119;50567288000663;3528700240665;8000;H;20181108
V;03316661000119;50567288000663;3528700240702;2000;H;20181108
V;03316661000119;50567288000663;3528700241266;8000;H;20181108
V;03316661000119;50567288000663;3528700645217;0;H;20181108
V;03316661000119;50567288000663;3528701392820;28000;H;20181108
V;03316661000119;50567288000663;3528700286779;12000;H;20181108
V;03316661000119;50567288000663;3528700339543;0;H;20181108
V;03316661000119;50567288000663;3528700340853;13000;H;20181108
V;03316661000119;50567288000663;3528700344240;8000;H;20181108
V;03316661000119;50567288000663;3528700387506;0;H;20181108
V;03316661000119;50567288000663;3528700393392;2000;H;20181108
V;03316661000119;50567288000663;3528700430486;1000;H;20181108
V;03316661000119;50567288000663;3528700481402;8000;H;20181108
V;03316661000119;50567288000663;3528700488579;0;H;20181108
V;03316661000119;50567288000663;3528700493207;0;H;20181108
V;03316661000119;50567288000663;3528700493368;1000;H;20181108
V;03316661000119;50567288000663;3528700546682;0;H;20181108
V;03316661000119;50567288000663;3528700566154;2000;H;20181108
V;03316661000119;50567288000663;3528700574685;4000;H;20181108
V;03316661000119;50567288000663;3528700581386;4000;H;20181108
V;03316661000119;50567288000663;3528700622867;8000;H;20181108
V;03316661000119;50567288000663;3528700643596;4000;H;20181108
V;03316661000119;50567288000663;3528700645217;0;H;20181108
V;03316661000119;50567288000663;3528700647983;3000;H;20181108
